Id,Nombre,Creado,Modificado,Código
18,No asignado,2023-04-21 17:36:26 -0400,2023-04-21 17:36:26 -0400,C99
17,Otros,2022-06-16 16:30:37 -0400,2022-06-16 16:30:37 -0400,C17
16,Credito,2022-06-16 16:30:29 -0400,2022-06-16 16:30:29 -0400,C16
15,Indices,2019-11-14 13:34:36 -0300,2019-11-14 13:34:36 -0300,C15
14,Acciones Pref.,2019-10-15 14:38:12 -0300,2019-10-15 14:38:24 -0300,C14
13,Activos Reales,2019-06-28 13:25:01 -0400,2019-06-28 13:25:01 -0400,C13
12,Benchmarks,2019-03-25 17:36:03 -0300,2019-03-25 17:36:03 -0300,C12
11,Opciones,2018-06-19 15:06:58 -0400,2018-06-19 15:13:41 -0400,C11
10,Fondos de Inversión,2018-02-27 14:39:04 -0300,2018-02-27 14:39:04 -0300,C10
9,ETF,2016-10-21 17:03:43 -0300,2016-10-21 17:03:43 -0300,C09
8,Notas,2016-10-21 17:03:35 -0300,2016-10-21 17:03:35 -0300,C08
7,LH,2016-10-21 17:03:25 -0300,2023-07-06 12:38:34 -0400,C07
6,Forward,2014-10-14 17:03:07 -0300,2014-10-14 17:03:07 -0300,C06
5,Depósito,2014-10-14 17:03:07 -0300,2024-12-09 15:26:54 -0300,C05
4,Bonos,2014-10-14 17:03:07 -0300,2014-10-14 17:03:07 -0300,C04
3,Fondos Mutuos,2014-10-14 17:03:07 -0300,2018-02-27 14:38:42 -0300,C03
2,Acciones,2014-10-14 17:03:07 -0300,2014-10-14 17:03:07 -0300,C02
1,Caja,2014-10-14 17:03:07 -0300,2014-10-14 17:03:07 -0300,C01
